City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Vaini,TO,80.4,scattered clouds,-21.2,-175.2,Keleti Beach Resort
6,Cockburn Town,TC,76.59,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
7,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Rosario Oeste,BR,76.28,moderate rain,-14.8361,-56.4275,Alvorada Palace accomodation
12,Rikitea,PF,79.18,scattered clouds,-23.1203,-134.9692,People ThankYou
17,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
18,San Pedro,PH,85.32,overcast clouds,14.35,121.0167,Esquivel's Garden And Resort
19,Honiara,SB,84.58,overcast clouds,-9.4333,159.95,Heritage Park Hotel
24,Auki,SB,81.93,light rain,-8.7676,160.7034,Auki Motel
25,Atuona,PF,78.82,light rain,-9.8,-139.0333,Villa Enata
28,Puerto Ayora,EC,79.29,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Mormugao,IN,77.36,clear sky,15.4,73.8,Coconut Creek Resort
34,Piacabucu,BR,79.14,broken clouds,-10.4056,-36.4344,Piaçabuçu News
38,Makakilo City,US,78.69,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
40,Bapatla,IN,78.91,few clouds,15.9,80.4667,Kumar Hotel
43,Araouane,ML,83.71,broken clouds,18.9048,-3.5265,
47,Saint George,US,84.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
48,Butaritari,KI,81.18,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
49,Alyangula,AU,85.15,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
51,Banda Aceh,ID,79.7,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
59,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
65,Kavieng,PG,84.11,broken clouds,-2.5744,150.7967,Nusa Island Retreat
70,Lazaro Cardenas,MX,81.21,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
73,Saint-Philippe,RE,77.22,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
75,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
83,Boueni,YT,76.98,broken clouds,-12.9025,45.0761,The feet in water
85,Yulara,AU,78.64,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
89,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
90,Bitung,ID,81.45,overcast clouds,1.4451,125.1824,K2 Lembeh
94,Arraial Do Cabo,BR,76.87,few clouds,-22.9661,-42.0278,Pousada Porto Praia
95,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
96,Srandakan,ID,78.04,broken clouds,-7.9386,110.2506,Puri Brata
97,Vila Velha,BR,78.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
100,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
104,Saint-Leu,RE,76.68,broken clouds,-21.15,55.2833,La Caz Oceane
109,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
111,Mahebourg,MU,76.24,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
112,Sola,VU,82.94,overcast clouds,-13.8833,167.55,Leumerus Bungalows
115,Truth Or Consequences,US,82.63,clear sky,33.1284,-107.2528,Charles Motel
117,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
123,Itarema,BR,77.54,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
128,Qui Nhon,VN,77.88,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
129,Soyo,AO,80.73,overcast clouds,-6.1349,12.3689,Hotel Mpampa
130,Chabahar,IR,77.34,clear sky,25.2919,60.643,هتل گدروشیا
131,Bathsheba,BB,77.54,overcast clouds,13.2167,-59.5167,Atlantis Hotel
138,Bandarbeyla,SO,77.18,clear sky,9.4942,50.8122,JABIR HOTEL
141,Kudahuvadhoo,MV,81.64,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
149,Oistins,BB,77.18,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
151,Harper,LR,79.99,broken clouds,4.375,-7.7169,Screensaver
153,Bambous Virieux,MU,76.21,clear sky,-20.3428,57.7575,Casa Tia Villa
154,Voh,NC,84.25,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
155,Brownsville,US,76.08,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
157,Punto Fijo,VE,78.67,scattered clouds,11.6956,-70.1996,Santa Fe Inn Hotel
160,Posse,BR,76.01,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
161,Rio Grande City,US,79.11,scattered clouds,26.3798,-98.8203,La Borde House
162,Fare,PF,82.17,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
167,Cootamundra,AU,75.94,broken clouds,-34.65,148.0333,Cootamundra Gardens Motel & indian restaurant
170,Hambantota,LK,77.61,few clouds,6.1241,81.1185,Bungalow 63
171,Seybaplaya,MX,76.46,few clouds,19.65,-90.6667,sala de fiesta san Rafael
172,Bani,DO,79.86,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
175,Marabba,SD,76.53,few clouds,12.35,32.1833,
176,Tessalit,ML,81.14,scattered clouds,20.1986,1.0114,
177,Vanimo,PG,85.01,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
179,Taganak,PH,80.2,overcast clouds,6.0833,118.3,Taganak
181,Iracoubo,GF,77.61,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
186,Brigham City,US,75.02,clear sky,41.5102,-112.0155,Best Western Brigham City Inn & Suites
188,Wewak,PG,83.91,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
189,Acajutla,SV,82.42,overcast clouds,13.5928,-89.8275,Laureles
193,Blackwater,AU,79.18,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
195,Nisia Floresta,BR,76.98,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
196,Dabou,CI,80.01,broken clouds,5.3256,-4.3769,Résidence N'Da
201,Sokoni,TZ,82.96,light rain,-6.4333,39.55,Ujamaa Beach Resort
202,Ipixuna,BR,75.24,moderate rain,-1.7625,-48.8043,Chalé do Mato
210,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
211,Guanica,PR,79.05,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
216,Matamoros,MX,89.71,scattered clouds,25.5333,-103.25,Quinta Belem
224,Souillac,MU,76.75,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
225,Loiza,PR,78.78,few clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
228,Hithadhoo,MV,81.43,clear sky,-0.6,73.0833,Scoop Guest House
235,Fallon,US,75.07,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
236,Aracati,BR,78.84,broken clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
240,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
245,Coahuayana,MX,81.61,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
247,Micheweni,TZ,81.3,scattered clouds,-4.9667,39.8333,
249,Tual,ID,79.34,light rain,-5.6667,132.75,Grand Vilia Hotel
250,Tabuk,PH,78.96,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
257,Akyab,MM,77.5,scattered clouds,20.15,92.9,Hotel Memory
258,Samarai,PG,83.86,overcast clouds,-10.6167,150.6667,Nuli Sapi
259,Bambanglipuro,ID,78.03,broken clouds,-7.95,110.2833,Puri Brata
260,Alofi,NU,80.29,light rain,-19.0595,-169.9187,Taloa Heights
263,Luganville,VU,84.97,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
264,Namatanai,PG,83.39,light rain,-3.6667,152.4333,Seagulls Inn Namatani
265,Celestun,MX,76.44,clear sky,20.8667,-90.4,Posada Lilia
269,Kaduna,NG,77.22,clear sky,10.5222,7.4383,HAMDALA HOTEL
270,Mayor Pablo Lagerenza,PY,80.51,broken clouds,-19.9309,-60.7718,
272,Dingle,PH,81.84,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
273,Safford,US,87.12,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
275,Tabou,CI,79.97,broken clouds,4.423,-7.3528,hotêl doufoulougou
283,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
285,Valente,BR,76.39,moderate rain,-11.4122,-39.4619,Bel Pousada E Restaurante
289,Port Blair,IN,80.49,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
291,Sao Joao Da Barra,BR,77.04,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
295,San Juan,AR,76.62,scattered clouds,-31.5375,-68.5364,Hotel Provincial
296,Lorengau,PG,82.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
304,Thinadhoo,MV,81.54,few clouds,0.5333,72.9333,
306,Contai,IN,77.04,broken clouds,21.7786,87.7536,PATHFINDER
310,Sabang,ID,82.62,few clouds,5.8933,95.3214,Hotel Citra
314,Road Town,VG,75.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
315,Wukari,NG,77.79,clear sky,7.85,9.7833,Elimtop
317,Isangel,VU,83.48,scattered clouds,-19.55,169.2667,Tanna Lodge
332,Dubti,ET,82.83,broken clouds,11.7361,41.0853,degu Shiferaw
334,Touros,BR,80.15,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
344,Buala,SB,82.47,light rain,-8.145,159.5921,Maringe Lagoon Lodge
352,Pangai,TO,84.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
357,Natitingou,BJ,81.61,clear sky,10.3042,1.3796,Cotonou
359,Vao,NC,76.91,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
362,Morondava,MG,76.75,scattered clouds,-20.2833,44.2833,La Case Bambou
366,San Patricio,US,78.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
367,Anahuac,MX,86.11,scattered clouds,27.2333,-100.15,HOTEL SAN FELIPE
370,Lodwar,KE,84.87,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
373,Tombouctou,ML,87.84,broken clouds,20.0,-3.0,
374,Hobyo,SO,79.52,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
381,Roebourne,AU,82.42,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
393,Qandala,SO,77.05,clear sky,11.472,49.8728,
395,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
401,Katherine,AU,84.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
406,Biak,ID,79.2,overcast clouds,-0.9131,122.8766,Penginapan Kim
407,Karratha,AU,81.7,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
410,Ewa Beach,US,79.09,overcast clouds,21.3156,-158.0072,Base Lodging
411,Kaeo,NZ,75.33,clear sky,-35.1,173.7833,Bushido Lodge
420,Malindi,KE,79.52,scattered clouds,-3.2175,40.1191,African House Resort
424,Tahoua,NE,76.03,clear sky,14.8888,5.2692,Bungalows Guesthouse
425,Luanda,AO,77.61,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
434,La Primavera,CO,82.8,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
435,Tamandare,BR,78.15,light rain,-8.7597,-35.1047,Pousada 100 Passos
440,Acapulco,MX,82.22,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
443,The Valley,AI,76.82,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
444,Bikaner,IN,78.57,clear sky,28.0167,73.3,The Laxmi Niwas Palace
452,Waingapu,ID,80.96,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
453,Umm Lajj,SA,78.06,broken clouds,25.0213,37.2685,Moon light Furnished Units
454,Broken Hill,AU,75.13,broken clouds,-31.95,141.4333,Royal Exchange Hotel
455,Yucca Valley,US,79.03,scattered clouds,34.1142,-116.4322,Americas Best Value Inn & Suites Joshua Tree National Park
456,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
457,Daman,IN,79.16,clear sky,20.4167,72.85,Silver Sands Beach Resort
458,Kiunga,PG,84.96,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
464,Boulder City,US,87.22,clear sky,35.9786,-114.8325,Boulder Dam Hotel
465,Sur,OM,79.09,clear sky,22.5667,59.5289,Sur Plaza Hotel
469,Caborca,MX,84.06,scattered clouds,30.5838,-111.101,Hotel Los Lagos
471,Bulasa,PH,80.67,scattered clouds,9.9321,123.618,Rellin's Place
472,Guarapari,BR,78.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
473,Labuhan,ID,79.36,light rain,-6.8844,112.2051,DoubleFAG
476,Cabo San Lucas,MX,85.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
