City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kruisfontein,ZA,-34.0033,24.7314,62.89,76,69,5.32,broken clouds
1,Shelburne,CA,44.0787,-80.2041,14.9,86,90,16.64,overcast clouds
2,Bluff,NZ,-46.6,168.3333,59.47,76,18,3.33,few clouds
3,Rocha,UY,-34.4833,-54.3333,61.77,55,0,4.83,clear sky
4,Torbay,CA,47.6666,-52.7314,40.28,90,100,3.0,light rain
5,Vaini,TO,-21.2,-175.2,80.4,65,46,8.66,scattered clouds
6,Cockburn Town,TC,21.4612,-71.1419,76.59,70,81,17.96,broken clouds
7,Hilo,US,19.7297,-155.09,80.33,62,20,9.22,few clouds
8,Yellowknife,CA,62.456,-114.3525,18.41,61,100,3.0,overcast clouds
9,Albany,US,42.6001,-73.9662,29.35,60,100,15.46,overcast clouds
10,Rosario Oeste,BR,-14.8361,-56.4275,76.28,89,81,1.5,moderate rain
11,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,100,100,14.97,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,79.18,65,27,8.81,scattered clouds
13,Jamestown,US,42.097,-79.2353,20.79,58,100,21.85,overcast clouds
14,Faya,SA,18.3851,42.4509,55.92,41,0,3.18,clear sky
15,Ushuaia,AR,-54.8,-68.3,46.06,66,20,8.05,few clouds
16,Longyearbyen,SJ,78.2186,15.6401,8.44,66,46,10.36,scattered clouds
17,Salalah,OM,17.0151,54.0924,75.29,50,0,4.61,clear sky
18,San Pedro,PH,14.35,121.0167,85.32,69,94,8.57,overcast clouds
19,Honiara,SB,-9.4333,159.95,84.58,73,91,2.04,overcast clouds
20,Tuktoyaktuk,CA,69.4541,-133.0374,-5.94,84,3,7.49,clear sky
21,Saint Anthony,US,45.0205,-93.218,30.15,31,0,10.36,clear sky
22,Chuy,UY,-33.6971,-53.4616,62.73,73,0,1.32,clear sky
23,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,10.36,scattered clouds
24,Auki,SB,-8.7676,160.7034,81.93,80,100,5.35,light rain
25,Atuona,PF,-9.8,-139.0333,78.82,82,67,13.15,light rain
26,Kodiak,US,57.79,-152.4072,33.31,100,100,28.77,heavy snow
27,Hobart,AU,-42.8794,147.3294,63.27,82,98,3.15,light rain
28,Puerto Ayora,EC,-0.7393,-90.3518,79.29,80,94,9.53,overcast clouds
29,Camapua,BR,-19.5314,-54.0439,73.17,89,80,3.47,light rain
30,Mormugao,IN,15.4,73.8,77.36,80,10,8.59,clear sky
31,Llanes,ES,43.4198,-4.7549,58.89,71,96,4.29,overcast clouds
32,Igarka,RU,67.4667,86.5833,-14.13,100,94,5.03,overcast clouds
33,Douglas,US,41.3,-96.167,40.82,32,100,6.91,overcast clouds
34,Piacabucu,BR,-10.4056,-36.4344,79.14,82,59,8.55,broken clouds
35,Paamiut,GL,61.994,-49.6678,23.97,81,89,6.15,overcast clouds
36,Tasiilaq,GL,65.6145,-37.6368,26.76,75,100,10.8,overcast clouds
37,Hasaki,JP,35.7333,140.8333,59.29,70,94,13.04,overcast clouds
38,Makakilo City,US,21.3469,-158.0858,78.69,63,100,11.5,overcast clouds
39,La Ronge,CA,55.1001,-105.2842,19.62,73,100,11.5,overcast clouds
40,Bapatla,IN,15.9,80.4667,78.91,89,24,3.83,few clouds
41,Hermanus,ZA,-34.4187,19.2345,62.8,66,98,3.04,overcast clouds
42,Khatanga,RU,71.9667,102.5,-14.04,100,94,6.4,overcast clouds
43,Araouane,ML,18.9048,-3.5265,83.71,16,58,10.04,broken clouds
44,Barrow,US,71.2906,-156.7887,3.22,72,40,19.57,scattered clouds
45,Ojinaga,MX,29.5667,-104.4167,94.15,10,0,8.05,clear sky
46,Cape Town,ZA,-33.9258,18.4232,68.11,70,47,7.54,scattered clouds
47,Saint George,US,37.1041,-113.5841,84.43,9,0,13.8,clear sky
48,Butaritari,KI,3.0707,172.7902,81.18,65,86,7.16,overcast clouds
49,Alyangula,AU,-13.8483,136.4192,85.15,65,66,6.44,broken clouds
50,Lagoa,PT,39.05,-27.9833,58.69,85,99,11.7,overcast clouds
51,Banda Aceh,ID,5.5577,95.3222,79.7,82,15,2.17,few clouds
52,Sorgun,TR,39.8101,35.186,34.56,68,4,6.13,clear sky
53,Pisco,PE,-13.7,-76.2167,69.85,78,0,14.97,clear sky
54,San Cristobal,VE,7.7669,-72.225,69.35,81,88,2.15,overcast clouds
55,Port Elizabeth,ZA,-33.918,25.5701,65.1,99,86,8.23,overcast clouds
56,San Luis,AR,-33.295,-66.3356,67.26,31,17,7.36,few clouds
57,Klaksvik,FO,62.2266,-6.589,40.12,81,100,14.47,overcast clouds
58,Nikolskoye,RU,59.7035,30.7861,22.91,93,100,10.4,light snow
59,Puerto Escondido,MX,15.85,-97.0667,83.23,74,75,0.0,broken clouds
60,Rincon,US,32.296,-81.2354,66.16,26,0,10.36,clear sky
61,Upernavik,GL,72.7868,-56.1549,15.33,76,99,3.44,overcast clouds
62,Mataura,NZ,-46.1927,168.8643,71.1,49,3,1.95,clear sky
63,Provideniya,RU,64.3833,-173.3,17.71,73,0,2.24,clear sky
64,Ponta Do Sol,PT,32.6667,-17.1,62.06,79,36,5.93,scattered clouds
65,Kavieng,PG,-2.5744,150.7967,84.11,70,84,9.19,broken clouds
66,Mpanda,TZ,-6.3655,31.0409,64.31,98,56,0.2,moderate rain
67,East London,ZA,-33.0153,27.9116,70.32,83,80,19.71,broken clouds
68,Baherden,TM,38.4362,57.4316,53.64,48,59,6.49,broken clouds
69,Sisimiut,GL,66.9395,-53.6735,24.22,61,24,12.77,few clouds
70,Lazaro Cardenas,MX,17.9583,-102.2,81.21,48,69,9.44,broken clouds
71,Qaanaaq,GL,77.484,-69.3632,10.81,95,100,7.78,light snow
72,Mingyue,CN,43.1069,128.9217,38.97,40,1,12.06,clear sky
73,Saint-Philippe,RE,-21.3585,55.7679,77.22,85,98,9.37,overcast clouds
74,Port Alfred,ZA,-33.5906,26.891,64.18,93,99,1.01,overcast clouds
75,Geraldton,AU,-28.7667,114.6,75.61,78,100,5.75,overcast clouds
