City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,2022-03-21 00:59:42,-0.6,73.0833,83.91,68,100,15.14
1,Ribeira Grande,PT,2022-03-21 00:59:43,38.5167,-28.7,57.74,62,93,25.37
2,Hermanus,ZA,2022-03-21 00:59:43,-34.4187,19.2345,67.8,89,2,9.1
3,Wagar,SD,2022-03-21 00:59:44,16.1525,36.2032,75.67,57,0,9.06
4,Maracas,BR,2022-03-21 00:59:44,-13.4411,-40.4308,63.79,89,0,7.02
5,Qaanaaq,GL,2022-03-21 00:59:45,77.484,-69.3632,-6.07,93,100,6.96
6,Sauda,NO,2022-03-21 00:59:45,59.6506,6.3542,26.83,82,3,9.64
7,Ushuaia,AR,2022-03-21 00:59:45,-54.8,-68.3,51.46,66,20,13.8
8,Kruisfontein,ZA,2022-03-21 00:59:46,-34.0033,24.7314,65.97,88,75,2.3
9,Tarko-Sale,RU,2022-03-21 00:59:37,64.9225,77.785,19.92,96,100,5.68
10,Husavik,IS,2022-03-21 00:59:46,66.0449,-17.3389,29.21,78,54,6.44
11,Cape Town,ZA,2022-03-21 00:59:47,-33.9258,18.4232,68.11,85,0,9.22
12,Nanortalik,GL,2022-03-21 00:59:48,60.1432,-45.2371,11.73,83,3,9.44
13,Longyearbyen,SJ,2022-03-21 00:59:48,78.2186,15.6401,22.84,86,100,32.21
14,Castro,BR,2022-03-21 00:59:48,-24.7911,-50.0119,58.48,96,100,8.88
15,Matucana,PE,2022-03-21 00:59:20,-11.85,-76.4,60.03,93,100,1.95
16,Bambous Virieux,MU,2022-03-21 00:59:49,-20.3428,57.7575,77.25,94,40,3.44
17,Port Elizabeth,ZA,2022-03-21 00:59:49,-33.918,25.5701,65.32,95,20,1.14
18,Ambilobe,MG,2022-03-21 00:59:50,-13.2,49.05,73.65,96,100,2.68
19,Arraial Do Cabo,BR,2022-03-21 00:59:50,-22.9661,-42.0278,76.19,85,100,16.6
20,Los Llanos De Aridane,ES,2022-03-21 00:59:51,28.6585,-17.9182,58.75,75,100,8.05
21,Viedma,AR,2022-03-21 00:59:51,-40.8135,-62.9967,63.73,64,100,20.54
22,Foumban,CM,2022-03-21 00:59:51,5.7291,10.9001,66.87,44,1,3.65
23,Mahebourg,MU,2022-03-21 00:59:52,-20.4081,57.7,77.29,94,40,3.44
24,Jamestown,US,2022-03-21 00:57:13,42.097,-79.2353,42.03,40,4,5.01
25,Port Alfred,ZA,2022-03-21 00:59:53,-33.5906,26.891,71.4,88,9,10.33
26,Ancud,CL,2022-03-21 00:59:53,-41.8697,-73.8203,57.22,91,94,11.61
27,Praia,CV,2022-03-21 00:59:54,14.9215,-23.5087,68.54,73,20,16.11
28,Saint-Philippe,RE,2022-03-21 00:59:54,-21.3585,55.7679,76.59,85,96,8.75
29,Punta Arenas,CL,2022-03-21 00:56:29,-53.15,-70.9167,53.71,71,0,10.36
30,Progreso,MX,2022-03-21 00:59:10,21.2833,-89.6667,82.11,81,6,17.98
31,Mizan Teferi,ET,2022-03-21 00:59:55,6.9833,35.5833,65.97,67,85,2.48
32,Kirovsk,UA,2022-03-21 00:59:56,48.6375,38.6428,25.97,95,35,4.65
33,Llangefni,GB,2022-03-21 00:59:56,53.2556,-4.3106,45.12,87,2,1.14
34,Axim,GH,2022-03-21 00:59:56,4.8699,-2.2405,79.03,86,73,5.93
35,Oyon,PE,2022-03-21 00:59:57,-10.6681,-76.7731,48.15,91,100,1.74
36,Yar-Sale,RU,2022-03-21 00:57:36,66.8333,70.8333,11.93,96,85,10.6
37,Isla Mujeres,MX,2022-03-21 00:59:57,21.2311,-86.731,80.17,75,1,11.79
38,Iqaluit,CA,2022-03-21 00:59:58,63.7506,-68.5145,-7.87,71,100,3.44
39,Cape Coast,GH,2022-03-21 00:59:58,5.1053,-1.2466,79.47,86,83,8.86
40,East London,ZA,2022-03-21 00:59:59,-33.0153,27.9116,70.81,89,41,7.72
41,Victoria,HK,2022-03-21 00:58:00,22.2855,114.1577,75.96,89,96,15.01
42,Laguna,US,2022-03-21 00:59:59,38.421,-121.4238,69.98,11,0,18.41
43,Pangnirtung,CA,2022-03-21 00:57:34,66.1451,-65.7125,-16.6,63,0,0.0
44,Acarau,BR,2022-03-21 01:01:00,-2.8856,-40.12,77.86,85,100,8.28
45,Tasiilaq,GL,2022-03-21 01:01:00,65.6145,-37.6368,6.96,68,0,8.34
46,Clyde River,CA,2022-03-21 01:01:01,70.4692,-68.5914,-22.34,94,87,7.72
47,Naryan-Mar,RU,2022-03-21 01:01:01,67.6713,53.087,17.37,92,29,11.68
48,Ghanzi,BW,2022-03-21 01:01:02,-21.5667,21.7833,66.96,60,25,8.12
49,Abha,SA,2022-03-21 01:01:02,18.2164,42.5053,57.79,71,0,5.88
50,Harper,LR,2022-03-21 01:01:02,4.375,-7.7169,79.48,85,100,3.49
51,Morondava,MG,2022-03-21 01:01:03,-20.2833,44.2833,79.32,79,100,6.4
52,Saint-Joseph,RE,2022-03-21 01:01:03,-21.3667,55.6167,75.58,85,76,9.19
